time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust,normalized_tau_x,normalized_tau_y,normalized_tau_z,normalized_thrust,throttle1,throttle2,throttle3,throttle4
2.06,0.0,0.0,-8.25500085025871,0.0,0.0,-10.820218200919621,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.07,0.0,0.0,-8.364085932267907,0.0,0.0,-10.908508200919622,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.08,0.0,0.0,-8.474053914277103,0.0,0.0,-10.996798200919622,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.09,0.0,0.0,-8.584904796286299,0.0,0.0,-11.085088200919623,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.1,0.0,0.0,-8.696638578295495,0.0,0.0,-11.173378200919624,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.11,0.0,0.0,-8.809255260304692,0.0,0.0,-11.261668200919624,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.12,0.0,0.0,-8.922754842313887,0.0,0.0,-11.349958200919625,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.13,0.0,0.0,-9.037137324323083,0.0,0.0,-11.438248200919626,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.14,0.0,0.0,-9.15240270633228,0.0,0.0,-11.526538200919626,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.15,0.0,0.0,-9.268550988341476,0.0,0.0,-11.614828200919627,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.16,0.0,0.0,-9.385582170350672,0.0,0.0,-11.703118200919628,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.17,0.0,0.0,-9.503496252359868,0.0,0.0,-11.791408200919628,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.18,0.0,0.0,-9.622293234369064,0.0,0.0,-11.879698200919629,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.19,0.0,0.0,-9.74197311637826,0.0,0.0,-11.96798820091963,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.2,0.0,0.0,-9.862535898387456,0.0,0.0,-12.05627820091963,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
2.21,0.0,0.0,-9.983981580396653,0.0,0.0,-12.14456820091963,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
